Group,idba_tran_BLAST_nt_BOWTIE2,idba_tran_BLAST_nt_BWA,idba_tran_BLAST_SILVA_BOWTIE2,idba_tran_BLAST_SILVA_BWA,idba_tran_CREST_BOWTIE2,idba_tran_CREST_BWA,rnaSPAdes_BLAST_nt_BOWTIE2,rnaSPAdes_BLAST_nt_BWA,rnaSPAdes_BLAST_SILVA_BOWTIE2,rnaSPAdes_BLAST_SILVA_BWA,rnaSPAdes_CREST_BOWTIE2,rnaSPAdes_CREST_BWA,trinity_BLAST_nt_BOWTIE2,trinity_BLAST_nt_BWA,trinity_BLAST_SILVA_BOWTIE2,trinity_BLAST_SILVA_BWA,trinity_CREST_BOWTIE2,trinity_CREST_BWA
Archaea:_Candidatus_Aenigmarchaeota,0,0,2.16E-06,1.02E-06,0,0,0,0,4.28E-07,5.72E-07,0,0,0,0,5.00E-07,4.51E-07,0,0
Archaea:_Candidatus_Micrarchaeota,0,0,1.70E-05,1.22E-05,0,0,0,0,9.48E-06,9.89E-06,0,0,5.27E-07,5.41E-07,1.06E-05,0.000110293,0,0
Archaea:_Crenarchaeota,0.000162278,7.65E-05,0,0,0,0,0.000118129,0.00013664,1.35E-06,1.68E-06,0,0,0.000150778,0.00013548,8.08E-07,1.18E-06,0,0
Archaea:_Euryarchaeota,2.06E-05,1.02E-05,0.00011946,7.50E-05,0.000123269,7.68E-05,4.06E-07,3.84E-07,6.64E-05,6.89E-05,7.11E-05,7.38E-05,7.16E-07,4.73E-07,7.13E-05,6.64E-05,7.33E-05,6.81E-05
Archaea:_Nanoarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54E-07,1.39E-07,0,0
Archaea:_Thaumarchaeota,1.58E-05,1.07E-05,0.000313741,0.000513809,0.000260184,0.000496452,6.62E-05,6.37E-05,0.000321842,0.000330004,0.000167881,0.000172361,1.99E-05,2.08E-05,0.000185817,0.000291905,0.000180205,0.00029029
Archaea:_Unknown,0.000320976,0.000506274,0,0,1.50E-05,1.04E-05,0.000229589,0.000219711,9.98E-07,9.42E-07,9.62E-06,1.01E-05,0.000335757,0.000440342,1.00E-06,9.72E-07,1.08E-05,0.0001142
Bacteria:_Abditibacteriota,0,0,0.003421561,0.002323915,0,0,0,0,0.003094098,0.003008899,0,0,0.000337377,0.000272413,0.003388437,0.003187073,0,0
Bacteria:_Acidobacteria,0.018401058,0.022444537,0.09068637,0.101747937,0.093894524,0.088871182,0.041829096,0.041916206,0.140433114,0.139083456,0.15123666,0.149278328,0.03705182,0.031826157,0.13617165,0.133653312,0.139328283,0.136239676
Bacteria:_Actinobacteria,0.021508598,0.032935992,0.057652098,0.040883915,0.060058988,0.041468046,0.029242785,0.02892178,0.049778161,0.04887928,0.052487484,0.051398492,0.027115524,0.027721479,0.056806552,0.054326662,0.059710682,0.056570081
Bacteria:_Aquificae,0,0,4.47E-07,3.83E-07,0,0,0,0,2.14E-07,3.36E-07,0,0,0,0,2.31E-07,2.43E-07,0,0
Bacteria:_Armatimonadetes,0.006613287,0.00732157,0.028242909,0.027328561,0.029283403,0.023521847,0.001570792,0.001559875,0.031461762,0.031196606,0.033173575,0.032809243,0.00265732,0.002344424,0.028458594,0.027891374,0.029942544,0.029181057
Bacteria:_Bacteroidetes,0.021399585,0.023151112,0.074302704,0.07602452,0.076379403,0.072269554,0.061854711,0.05810853,0.086005343,0.084754926,0.092804382,0.09113837,0.04147844,0.039884686,0.085872629,0.083256169,0.088276497,0.085417689
Bacteria:_Caldiserica,0,0,0,0,0,0,0,0,8.55E-07,1.04E-06,0,0,0,0,2.04E-06,2.43E-06,0,0
Bacteria:_candidate_division_NC10,1.32E-06,1.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria:_candidate_division_Zixibacteria,0,0,0,0,0,0,0,0,3.56E-08,1.35E-07,0,0,0,0,4.27E-06,4.10E-06,0,0
Bacteria:_Candidatus_Adlerbacteria,6.09E-05,3.59E-05,0,0,0,0,1.35E-07,1.09E-06,0,0,0,0,2.52E-05,2.36E-05,0,0,0,0
Bacteria:_Candidatus_Azambacteria,0,0,4.47E-07,3.19E-07,0.000513235,0.000352557,0,0,0,0,0.000330663,0.000343445,0,0,1.00E-06,8.33E-07,0.000358929,0.000396168
Bacteria:_Candidatus_Beckwithbacteria,0,0,0,0,0,0,0,0,6.84E-06,9.42E-06,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Berkelbacteria,0,0,1.34E-06,1.56E-06,0,0,0,0,9.62E-07,1.25E-06,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Bipolaricaulota,0,0,0,0,0,0,0,0,7.13E-08,1.01E-07,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Brennerbacteria,0,0,4.47E-07,5.10E-07,0,0,0,0,3.21E-07,5.05E-07,0,0,0,0,3.46E-07,7.64E-07,0,0
Bacteria:_Candidatus_Campbellbacteria,4.38E-07,3.28E-07,0,0,0,0,3.72E-07,5.11E-07,0,0,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Cloacimonetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-06,2.63E-06
Bacteria:_Candidatus_Collierbacteria,0,0,1.12E-06,6.70E-07,0,0,0,0,5.35E-07,6.39E-07,0,0,0,0,5.77E-07,6.59E-07,0,0
Bacteria:_Candidatus_Colwellbacteria,0,0,5.74E-06,5.49E-06,0,0,0,0,2.00E-06,2.46E-06,0,0,0,0,6.81E-06,6.98E-06,0,0
Bacteria:_Candidatus_Gracilibacteria,0,0,1.69E-05,7.78E-06,0,0,0,0,7.30E-06,7.23E-06,0,0,0,0,9.73E-06,1.04E-05,0,0
Bacteria:_Candidatus_Hydrogenedentes,0,0,0,0,0,0,0,0,3.56E-07,3.70E-07,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Hydrothermae,0,0,2.98E-07,2.55E-07,0,0,0,0,4.28E-07,7.07E-07,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Jorgensenbacteria,0,0,9.95E-05,0.0002652,5.41E-05,0.000248358,0,0,6.27E-05,6.26E-05,1.61E-05,1.66E-05,0,0,7.87E-05,8.91E-05,7.14E-05,8.83E-05
Bacteria:_Candidatus_Kaiserbacteria,0,0,0.000179302,0.000117285,0,0,0,0,0.000100522,0.000103339,0,0,0,0,0.000279957,0.000392168,0,0
Bacteria:_Candidatus_Kapabacteria,0,0,0.007225199,0.010957721,0,0,0,0,5.36E-05,5.61E-05,0,0,0,0,6.34E-05,4.80E-05,0,0
Bacteria:_Candidatus_Kerfeldbacteria,0,0,5.96E-06,3.22E-06,0,0,0,0,5.49E-06,5.82E-06,0,0,0,0,1.56E-05,1.50E-05,0,0
Bacteria:_Candidatus_Kryptonia,0,0,0,0,0,0,0,0,2.46E-06,4.37E-06,0,0,0,0,2.23E-06,2.26E-06,0,0
Bacteria:_Candidatus_Latescibacteria,7.46E-05,0.000316093,8.20E-07,4.47E-07,0,0,3.15E-06,6.17E-06,3.17E-06,4.21E-06,0,0,0,0,2.69E-05,1.32E-05,0,0
Bacteria:_Candidatus_Levybacteria,0,0,0.006425868,0.006495073,0.006685005,0.006706254,0,0,8.27E-06,1.09E-05,8.96E-06,1.18E-05,0,0,8.04E-06,9.16E-06,8.36E-06,9.51E-06
Bacteria:_Candidatus_Liptonbacteria,0,0,1.47E-05,1.37E-05,0,0,0,0,1.49E-05,1.53E-05,0,0,0,0,1.67E-05,5.14E-05,0,0
Bacteria:_Candidatus_Magasanikbacteria,0,0,0,0,0,0,0,0,1.07E-07,2.43E-05,1.16E-07,2.64E-05,0,0,0,0,0,0
Bacteria:_Candidatus_Margulisbacteria,0,0,8.94E-07,1.12E-06,0,0,0,0,0,0,0,0,0,0,3.46E-07,3.12E-07,0,0
Bacteria:_Candidatus_Melainabacteria,0,0,0.002095355,0.000959691,0.002179854,0.000990895,1.56E-06,2.94E-06,0.000943719,0.000929475,0.001022808,0.001007182,9.04E-07,2.84E-06,0.002113673,0.002316322,0.002111504,0.002316667
Bacteria:_Candidatus_Moranbacteria,0,0,4.55E-06,3.83E-06,0,0,0,0,0,0,0,0,0,0,4.61E-07,7.64E-07,0,0
Bacteria:_Candidatus_Nomurabacteria,0,0,0.00012654,0.000396715,0,0,0,0,5.94E-05,8.13E-05,0,0,1.02E-06,2.43E-06,7.08E-05,6.60E-05,0,0
Bacteria:_Candidatus_Omnitrophica,0,0,0.000458687,0.000420772,0,0,0,0,0.000262334,0.000266002,0,0,1.21E-05,1.64E-05,0.001159667,0.000866204,0,0
Bacteria:_Candidatus_Parcubacteria,8.55E-06,3.79E-06,0.000529335,0.000296053,0,0,2.73E-05,2.94E-05,0.000308943,0.000321558,0,0,1.42E-05,2.57E-05,0.000367443,0.000406605,0,0
Bacteria:_Candidatus_Peregrinibacteria,0,0,2.16E-06,1.75E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Saccharibacteria,2.04E-05,2.16E-05,0,0,0,0,7.12E-05,7.00E-05,1.43E-07,2.36E-07,0,0,0.000266527,0.00024865,0,0,0,0
Bacteria:_Candidatus_Sumerlaeota,0,0,0,0,0,0,1.29E-06,1.21E-06,0,0,0,0,0,0,0.00016932,0.000194036,0,0
Bacteria:_Candidatus_Woesebacteria,0,0,1.64E-06,1.60E-06,0,0,0,0,1.39E-06,1.51E-06,0,0,2.64E-07,2.70E-07,9.38E-06,9.47E-06,0,0
Bacteria:_Candidatus_Yanofskybacteria,0,0,4.47E-07,2.87E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria:_Candidatus_Zambryskibacteria,0,0,0.000150238,7.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria:_Chlamydiae,0.001710093,0.002173426,0.004705214,0.004128277,0.004646795,0.004073806,0.003074512,0.002970419,0.002365498,0.002558193,0.002503803,0.00270964,0.000935819,0.001081842,0.002861211,0.003114053,0.001924421,0.002164569
Bacteria:_Chlorobi,1.83E-06,0.000131733,0.000291086,0.001209672,0.007521765,0.011316604,5.08E-07,6.71E-07,7.13E-08,6.73E-08,4.71E-05,4.86E-05,0.000327546,0.000194295,0,0,6.59E-05,4.98E-05
Bacteria:_Chloroflexi,0.000225699,0.000738306,0.00688545,0.007970966,0.007089158,0.008193337,0.002307534,0.002213479,0.000960039,0.001008317,0.001023619,0.001073143,0.000917062,0.001217456,0.001737385,0.002115414,0.001685548,0.002062617
Bacteria:_Cyanobacteria,0.002052258,0.004592437,0.002552402,0.005322762,0.000845133,0.00218597,0.00044577,0.0006203,0.000210737,0.000394746,1.97E-05,3.03E-05,0.00025244,0.000331803,0.000209352,0.000376481,1.42E-05,4.99E-05
Bacteria:_Deinococcus-Thermus,2.05E-06,3.82E-06,0,0,0,0,3.35E-06,5.08E-06,4.63E-07,7.07E-07,0,0,0,0,0,0,0,0
Bacteria:_Elusimicrobia,0,0,0.001027519,0.006065239,0.000419271,0.004926702,6.43E-07,7.99E-07,0.000331321,0.000546069,2.82E-05,0.000106946,5.27E-07,8.79E-07,0.000352792,0.000604528,8.96E-06,1.01E-05
Bacteria:_Fibrobacteres,0,0,0.000667947,0.000483977,0.000694883,0.000499713,0,0,0.000423826,0.000380613,0.00045919,0.000409443,0,0,1.62E-06,3.05E-06,1.68E-06,3.17E-06
Bacteria:_Firmicutes,0.01350466,0.04359112,0.002824485,0.018596485,0.00676044,0.01832376,0.014956008,0.01451048,0.002723295,0.003014115,0.007433706,0.007484035,0.011540354,0.011840496,0.003167971,0.003412309,0.008746438,0.009747601
